Decimal,Hex,Inserted,Generated,Gardiner Code,Gardiner Category
77824,13000,𓀀,𓀀,A001,A
77825,13001,𓀁,𓀁,A002,A
77826,13002,𓀂,𓀂,A003,A
77827,13003,𓀃,𓀃,A004,A
77828,13004,𓀄,𓀄,A005,A
77829,13005,𓀅,𓀅,A005A,A
77830,13006,𓀆,𓀆,A006,A
77831,13007,𓀇,𓀇,A006A,A
77832,13008,𓀈,𓀈,A006B,A
77833,13009,𓀉,𓀉,A007,A
77834,1300A,𓀊,𓀊,A008,A
77835,1300B,𓀋,𓀋,A009,A
77836,1300C,𓀌,𓀌,A010,A
77837,1300D,𓀍,𓀍,A011,A
77838,1300E,𓀎,𓀎,A012,A
77839,1300F,𓀏,𓀏,A013,A
77840,13010,𓀐,𓀐,A014,A
77841,13011,𓀑,𓀑,A014A,A
77842,13012,𓀒,𓀒,A015,A
77843,13013,𓀓,𓀓,A016,A
77844,13014,𓀔,𓀔,A017,A
77845,13015,𓀕,𓀕,A017A,A
77846,13016,𓀖,𓀖,A018,A
77847,13017,𓀗,𓀗,A019,A
77848,13018,𓀘,𓀘,A020,A
77849,13019,𓀙,𓀙,A021,A
77850,1301A,𓀚,𓀚,A022,A
77851,1301B,𓀛,𓀛,A023,A
77852,1301C,𓀜,𓀜,A024,A
77853,1301D,𓀝,𓀝,A025,A
77854,1301E,𓀞,𓀞,A026,A
77855,1301F,𓀟,𓀟,A027,A
77856,13020,𓀠,𓀠,A028,A
77857,13021,𓀡,𓀡,A029,A
77858,13022,𓀢,𓀢,A030,A
77859,13023,𓀣,𓀣,A031,A
77860,13024,𓀤,𓀤,A032,A
77861,13025,𓀥,𓀥,A032A,A
77862,13026,𓀦,𓀦,A033,A
77863,13027,𓀧,𓀧,A034,A
77864,13028,𓀨,𓀨,A035,A
77865,13029,𓀩,𓀩,A036,A
77866,1302A,𓀪,𓀪,A037,A
77867,1302B,𓀫,𓀫,A038,A
77868,1302C,𓀬,𓀬,A039,A
77869,1302D,𓀭,𓀭,A040,A
